Msn2,Nrg2,Cyc8,Sok2,Ash1,Gat1,Fkh1,Ace2,Tec1,Ste12,Mig3,Tda9,Msn2_OE,Msn2_DBD,Msn2_DBD_OE,Dal80,Gln3,Gzf3,Abf1,Aca1,Adr1,Cbf1,Crz1,Cup9,Dot6,Fkh2,Hcm1,Mbp1,Met31,Mot3,Rap1,Reb1,Rgm1,Rpn4,Sfl1,Skn7,Sko1,Stp1,Stp3,Swi4,Swi5,Tod6,Tos8,Usv1,Yap1,Med15,MNase
298,24,17,49,3202,2259,6850,1362,1824,6297,91,616,441,1016,1047,662,1314,1124,1966,242,617,6851,1303,106,474,688,2518,2780,3378,287,2290,3572,15,2306,339,294,93,1620,228,2002,2372,888,25,55,711,1445,4902
186,635,543,616,2735,1176,2292,897,7466,5878,192,113,407,1880,2407,2274,529,1173,5037,115,148,550,608,502,996,1556,1266,915,544,1423,2177,1550,1253,8222,1284,413,274,583,1034,344,1572,2163,598,298,342,251,7795
76,129,221,214,1608,323,2984,144,3461,4540,231,63,178,1795,1369,328,232,189,1191,217,144,662,468,306,205,832,1155,1764,168,1191,1198,98,465,7136,1029,39,195,208,197,402,790,584,409,97,311,303,7601
540,3,61,7,1796,2044,7986,86,4352,4323,254,296,1560,8441,7609,154,842,131,5037,1049,755,3842,40,233,1500,3004,7004,3745,116,224,2421,5821,566,3749,568,98,622,488,395,1108,84,2336,118,237,789,971,7218
9,145,323,143,2234,164,555,46,584,727,109,63,54,23,30,572,144,755,4400,193,44,1395,112,111,245,392,1147,1511,469,479,1475,2213,75,1145,219,74,573,488,785,566,84,488,56,41,15,35,5309
79,315,151,88,795,2475,414,230,853,1156,328,197,221,213,249,569,2624,387,5037,228,335,846,472,84,23,81,268,11,509,89,2345,1868,297,176,175,237,183,290,494,96,372,126,25,186,528,145,2870
347,200,193,80,17,1550,806,108,1869,4626,344,148,144,3205,1236,260,273,210,1614,3,213,673,458,52,50,115,430,590,1005,81,1336,2355,17,7020,248,485,65,235,75,840,240,71,9,28,580,573,7922
312,54,35,105,5842,4406,6339,159,8685,7669,154,148,5,5450,3021,4263,570,4287,5037,192,199,2231,387,371,856,2909,4549,4837,323,390,774,298,3697,5804,292,18,30,454,160,2670,304,2379,536,971,323,693,8070
295,429,296,216,4175,2259,3229,63,1287,3123,166,1,97,6220,3063,561,3255,656,212,23,139,720,142,307,594,2064,792,2831,366,407,1919,881,220,5157,685,65,18,104,499,1332,166,647,203,125,68,297,8051
3813,2755,1568,1602,1254,1176,811,49,2,4,1083,1689,2633,7545,6246,1576,2220,1550,2985,1451,1415,696,2818,1743,413,763,1442,49,2737,3295,2132,992,2712,7437,1033,46,1590,2223,1042,74,33,177,1524,2922,675,2855,7211
4233,3523,3287,7421,2249,4406,595,5839,34,17,2874,1887,3629,7144,6438,5768,4147,2787,2704,6584,5669,442,6100,6236,3280,1217,214,750,2997,3493,903,1373,7151,6114,4784,1124,5128,5108,7513,117,6005,2361,4843,4882,2472,3422,6775
1226,345,63,113,3819,5827,5608,1618,6696,8980,688,1941,953,3478,4103,4847,3255,5005,5037,716,1348,8838,2346,128,1822,2558,1995,4792,7492,233,1252,4165,2638,6693,5,1140,522,2875,1807,4695,3047,4844,72,838,1018,2019,7647
194,111,178,104,3495,5827,3655,120,1733,5799,215,132,119,657,299,1017,947,1405,3163,331,378,588,473,570,219,1345,2518,1216,1056,2221,101,3460,1219,2206,83,216,163,1242,604,573,304,237,260,470,349,711,6322
663,303,13,64,2347,3766,7922,561,2016,4389,38,1542,144,694,684,1018,3944,170,431,228,1274,3893,2118,177,178,806,3035,1891,4433,1138,348,433,1936,1799,241,700,1152,713,3368,1742,918,1047,544,569,958,769,8346
462,1294,615,1267,2121,4169,2290,557,3565,3953,1079,212,417,6654,4369,5804,79,4007,3923,206,217,944,209,595,408,1755,792,2242,2,746,1054,1841,3388,576,1814,318,1899,13,377,1976,639,1048,785,1562,137,229,7325
158,1,5,12,1965,5827,1686,715,548,3123,209,454,547,1566,1426,110,170,95,4371,388,337,3165,799,6,278,764,225,2956,193,116,1448,1240,106,2640,300,547,99,184,107,2224,3013,1227,6,27,119,680,9020
1754,213,129,164,3485,2578,18,2,546,1048,299,966,1154,7892,7450,3368,970,1417,410,406,622,1560,1029,274,313,47,18,476,1155,150,1792,3267,3776,8190,63,497,455,1981,946,103,36,663,45,1288,1257,572,8450
1871,109,53,58,293,5827,40,86,2186,3324,114,1385,865,5857,6326,1157,869,1512,5037,933,1117,927,1061,450,15,24,35,31,350,721,672,2311,1109,7764,483,303,30,204,471,38,55,61,41,307,971,1250,8858
106,168,263,288,1279,2414,7261,254,5931,7501,19,285,9,3175,1753,1575,4147,2067,5037,496,200,4090,362,633,439,3518,2518,1399,1198,813,2327,3824,186,9414,1354,212,956,156,699,787,845,1371,274,336,666,777,7007
5340,4142,2746,3357,4033,5827,202,4677,12,50,4166,8229,5877,6967,6700,5719,4147,4965,1561,4902,6297,4524,7291,2287,3227,761,265,3138,6878,5594,5261,7639,4767,7764,5443,5049,3443,5297,6724,283,5356,3717,2930,3324,6686,7529,3565
174,378,159,143,1703,1665,163,48,1990,1799,224,122,95,2940,1536,320,170,174,2659,88,244,32,60,427,161,54,116,301,146,13,548,1424,1155,1110,110,213,588,300,335,225,45,256,148,390,129,268,5540
1528,1190,767,1512,70,564,729,2002,7524,5509,640,1432,1499,3094,3480,1172,3944,1435,5037,396,2260,2997,2137,2041,574,1300,1354,4115,2505,2102,3073,5770,2127,3277,2532,653,547,3169,1393,2367,3229,872,1313,823,26,2316,7299
1074,602,124,481,2919,4169,204,420,45,309,277,997,381,7920,5785,725,445,693,2040,1501,728,1408,1085,1966,267,16,506,73,164,57,9,3954,346,2033,597,2,556,548,1158,16,2270,487,1024,821,290,1176,9101
2745,3943,1645,1493,7358,4406,5765,308,5888,6364,2094,762,3057,9398,9233,3299,487,4398,3,2842,1046,1,799,3316,1345,2357,1402,582,1,4686,253,1727,5206,810,3432,117,1847,732,883,599,1079,1896,3391,1646,447,648,9428
334,757,427,248,3380,73,1050,93,3297,2081,472,118,348,8206,7411,1773,22,1218,460,280,222,616,277,16,1001,664,370,963,6,126,474,2146,2218,2827,553,54,1231,1,724,430,204,1248,289,972,101,117,8787
979,532,118,474,2606,4169,224,415,36,274,264,993,320,7467,5487,633,369,648,2040,1501,681,1362,1090,1878,243,16,506,70,162,59,9,3618,361,1684,537,1,471,568,1182,16,2172,473,1055,829,275,1089,9109
388,218,114,8,185,2475,355,188,1140,1033,134,243,379,7227,7936,434,153,206,611,456,77,2756,657,485,259,10,5617,300,722,1343,231,1699,2514,6948,619,141,63,31,1486,64,411,630,179,953,517,223,8248
1078,149,33,334,1,343,1363,533,1743,916,419,813,538,7314,7270,100,869,61,1005,256,876,2286,740,238,495,40,2316,1179,885,8,494,1387,24,944,344,3,61,130,1139,728,1770,531,71,19,230,1474,9325
78,217,186,141,2176,27,516,717,1752,2147,530,96,255,63,181,147,61,483,1382,14,92,1428,139,168,301,692,1354,1687,307,357,3408,1013,952,790,317,828,235,308,57,1564,325,760,157,251,44,75,1275
777,1,67,4,3080,2444,7722,113,6231,3602,146,263,2796,9228,7962,494,791,351,5037,692,401,2824,24,57,1172,2190,7776,2493,135,155,2132,5080,546,921,204,117,643,539,865,1093,99,2047,69,254,746,428,7950
