Number,Pool name,Strain,Plasmid pool number,Trans repeat,Time point,Time point repeat,Well barcode number,Exp
1,MP1_subset4_pool1,Fkh1,1,1,0,1,1,13
2,MP1_subset4_pool1,Fkh1,1,2,0,1,2,13
3,MP1_subset4_pool1,Ace2,1,1,0,1,3,13
4,MP1_subset4_pool1,Ace2,1,2,0,1,4,13
5,MP1_subset4_pool1,Fkh1,1,1,0,2,5,13
6,MP1_subset4_pool1,Fkh1,1,2,0,2,6,13
7,MP1_subset4_pool1,Ace2,1,1,0,2,7,13
8,MP1_subset4_pool1,Ace2,1,2,0,2,8,13
9,MP1_subset4_pool1,Fkh1,1,1,45,1,9,13
10,MP1_subset4_pool1,Fkh1,1,2,45,1,10,13
11,MP1_subset4_pool1,Ace2,1,1,45,1,11,13
12,MP1_subset4_pool1,Ace2,1,2,45,1,12,13
13,MP1_subset4_pool1,Fkh1,1,1,45,2,13,13
14,MP1_subset4_pool1,Fkh1,1,2,45,2,14,13
15,MP1_subset4_pool1,Ace2,1,1,45,2,15,13
16,MP1_subset4_pool1,Ace2,1,2,45,2,16,13
17,MP1_subset4_pool1,Fkh1,1,1,90,1,17,13
18,MP1_subset4_pool1,Fkh1,1,2,90,1,18,13
19,MP1_subset4_pool1,Ace2,1,1,90,1,19,13
20,MP1_subset4_pool1,Ace2,1,2,90,1,20,13
21,MP1_subset4_pool1,Fkh1,1,1,90,2,21,13
22,MP1_subset4_pool1,Fkh1,1,2,90,2,22,13
23,MP1_subset4_pool1,Ace2,1,1,90,2,23,13
24,MP1_subset4_pool1,Ace2,1,2,90,2,24,13
25,MP1_subset4_pool1,Fkh1,1,1,180,1,25,13
26,MP1_subset4_pool1,Fkh1,1,2,180,1,26,13
27,MP1_subset4_pool1,Ace2,1,1,180,1,27,13
28,MP1_subset4_pool1,Ace2,1,2,180,1,28,13
29,MP1_subset4_pool1,Fkh1,1,1,180,2,29,13
30,MP1_subset4_pool1,Fkh1,1,2,180,2,30,13
31,MP1_subset4_pool1,Ace2,1,1,180,2,31,13
32,MP1_subset4_pool1,Ace2,1,2,180,2,32,13
33,MP1_subset4_pool2,Ace2,2,1,0,1,1,13
34,MP1_subset4_pool2,Ace2,2,2,0,1,2,13
35,MP1_subset4_pool2,Ste12,1,1,0,1,3,13
36,MP1_subset4_pool2,Ste12,1,2,0,1,4,13
37,MP1_subset4_pool2,Ace2,2,1,0,2,5,13
38,MP1_subset4_pool2,Ace2,2,2,0,2,6,13
39,MP1_subset4_pool2,Ste12,1,1,0,2,7,13
40,MP1_subset4_pool2,Ste12,1,2,0,2,8,13
41,MP1_subset4_pool2,Ace2,2,1,45,1,9,13
42,MP1_subset4_pool2,Ace2,2,2,45,1,10,13
43,MP1_subset4_pool2,Ste12,1,1,45,1,11,13
44,MP1_subset4_pool2,Ste12,1,2,45,1,12,13
45,MP1_subset4_pool2,Ace2,2,1,45,2,13,13
46,MP1_subset4_pool2,Ace2,2,2,45,2,14,13
47,MP1_subset4_pool2,Ste12,1,1,45,2,15,13
48,MP1_subset4_pool2,Ste12,1,2,45,2,16,13
49,MP1_subset4_pool2,Ace2,2,1,90,1,17,13
50,MP1_subset4_pool2,Ace2,2,2,90,1,18,13
51,MP1_subset4_pool2,Ste12,1,1,90,1,19,13
52,MP1_subset4_pool2,Ste12,1,2,90,1,20,13
53,MP1_subset4_pool2,Ace2,2,1,90,2,21,13
54,MP1_subset4_pool2,Ace2,2,2,90,2,22,13
55,MP1_subset4_pool2,Ste12,1,1,90,2,23,13
56,MP1_subset4_pool2,Ste12,1,2,90,2,24,13
57,MP1_subset4_pool2,Ace2,2,1,180,1,25,13
58,MP1_subset4_pool2,Ace2,2,2,180,1,26,13
59,MP1_subset4_pool2,Ste12,1,1,180,1,27,13
60,MP1_subset4_pool2,Ste12,1,2,180,1,28,13
61,MP1_subset4_pool2,Ace2,2,1,180,2,29,13
62,MP1_subset4_pool2,Ace2,2,2,180,2,30,13
63,MP1_subset4_pool2,Ste12,1,1,180,2,31,13
64,MP1_subset4_pool2,Ste12,1,2,180,2,32,13
65,MP1_subset5_pool1,Msn2,1,1,0,1,1,13
66,MP1_subset5_pool1,Msn2,1,2,0,1,2,13
67,MP1_subset5_pool1,Msn2,2,1,0,1,3,13
68,MP1_subset5_pool1,Msn2,2,2,0,1,4,13
69,MP1_subset5_pool1,Msn2,1,1,0,2,5,13
70,MP1_subset5_pool1,Msn2,1,2,0,2,6,13
71,MP1_subset5_pool1,Msn2,2,1,0,2,7,13
72,MP1_subset5_pool1,Msn2,2,2,0,2,8,13
73,MP1_subset5_pool1,Msn2,1,1,45,1,9,13
74,MP1_subset5_pool1,Msn2,1,2,45,1,10,13
75,MP1_subset5_pool1,Msn2,2,1,45,1,11,13
