Factor,Pool,Plasmid
Nrg1,1,28
Nrg1,1,30
Nrg1,1,90
Nrg1,1,39
Nrg1,1,46
Nrg1,1,91
Nrg1,2,43
Nrg1,2,57
Nrg1,2,32
Nrg1,2,74
Nrg1,2,61
Nrg1,3,82
Nrg1,3,85
Nrg1,3,31
Nrg1,3,76
Nrg1,3,77
Nrg1,4,81
Nrg1,4,40
Nrg1,4,88
Nrg1,4,89
Nrg1,4,35
Cbf1,1,70
Cbf1,1,51
Cbf1,1,73
Cbf1,1,63
Skn7,1,31
Skn7,1,50
Skn7,1,67
Skn7,1,35
Skn7,2,37
Skn7,2,53
Skn7,2,36
Skn7,3,40
Skn7,3,55
Skn7,3,70
Ash1,1,54
Ash1,1,67
Ash1,1,34
Ash1,1,80
Ash1,2,55
Ash1,2,90
Ash1,2,76
Ash1,2,49
Mig1,1,28
Mig1,1,71
Mig1,1,46
Mig1,1,74
Mig1,1,84
Mig1,2,32
Mig1,2,85
Mig1,2,48
Mig1,2,87
Mig1,2,86
Mig1,3,57
Mig1,3,41
Mig1,3,68
Mig1,3,29
Yap2,1,49
Dot6,1,30
Dot6,1,34
Dot6,1,45
Dot6,1,33
Dot6,2,54
Dot6,2,41
Dot6,2,89
Gis1,1,28
Gis1,1,36
Gis1,1,88
Gis1,1,72
Gis1,2,40
Gis1,2,39
Gis1,2,89
Gis1,2,49
Sok2,1,28
Sok2,1,43
Sok2,1,71
Sok2,1,44
Sok2,1,35
Sok2,2,31
Sok2,2,54
Sok2,2,82
Sok2,2,45
Sok2,2,91
Sok2,3,40
Sok2,3,57
Sok2,3,41
Sok2,3,89
Mot3,1,50
Mot3,1,71
Mot3,1,39
Mot3,1,33
Mot3,2,55
Mot3,2,82
Mot3,2,48
Rgm1,1,28
Rgm1,1,32
Rgm1,1,82
Rgm1,1,89
Rgm1,1,91
Gzf3,1,31
Gzf3,1,64
Gzf3,1,58
Gzf3,1,75
Gzf3,2,54
Gzf3,2,82
Gzf3,2,70
Gzf3,2,80
Gzf3,3,60
Gzf3,3,90
Gzf3,3,59
Gzf3,3,91
Stp3,1,67
Stp3,1,34
Stp3,1,56
Stp3,1,66
Stp3,1,84
Cyc8,1,28
Cyc8,1,71
Cyc8,1,40
Cyc8,1,88
Cyc8,1,39
Cyc8,1,35
Cyc8,2,43
Cyc8,2,69
Cyc8,2,31
Cyc8,2,87
Cyc8,2,68
Cyc8,2,29
Cyc8,3,90
Cyc8,3,57
Cyc8,3,32
Cyc8,3,76
Cyc8,3,41
Cyc8,3,61
Cyc8,4,85
Cyc8,4,54
Cyc8,4,44
Cyc8,4,45
Cyc8,4,48
Cyc8,4,91
Cyc8,5,82
Cyc8,5,64
Cyc8,5,36
Cyc8,5,74
Cyc8,5,46
Cyc8,5,84
Cyc8,6,81
Cyc8,6,30
Cyc8,6,89
Cyc8,6,70
Cyc8,6,77
Cyc8,6,86
Cup9,1,28
Cup9,1,52
Cup9,1,34
Cup9,1,78
Cup9,2,32
Cup9,2,57
Cup9,2,39
Cup9,2,33
Cup9,3,43
Cup9,3,90
Cup9,3,44
Cup9,3,35
Tos8,1,28
Tos8,1,43
Tos8,1,34
Tos8,1,44
Tos8,1,89
Tos8,1,33
Tos8,2,32
Tos8,2,90
Tos8,2,39
Tos8,2,78
Tos8,2,29
Tos8,2,35
Nrg2,1,28
Nrg2,1,30
Nrg2,1,90
Nrg2,1,39
Nrg2,1,46
Nrg2,1,91
Nrg2,2,43
Nrg2,2,57
Nrg2,2,32
Nrg2,2,74
Nrg2,2,61
Nrg2,3,82
Nrg2,3,85
Nrg2,3,31
Nrg2,3,76
Nrg2,3,77
Nrg2,4,81
Nrg2,4,40
Nrg2,4,88
Nrg2,4,89
Nrg2,4,35
Abf1,1,81
Abf1,1,76
Abf1,1,51
Usv1,1,28
Usv1,1,82
Usv1,1,89
Usv1,1,91
Usv1,2,30
Usv1,2,36
Usv1,2,72
