Name,Sys_name,Chromosome,ORF_Start,ORF_End,TSS_stein_Start,TSS_stein_End,TSS_park_Start,TSS_park_End,Prom_len
TFC3,YAL001C,1,151166,147594,151209,147521,151204,147539,1000
VPS8,YAL002W,1,143707,147531,143612,147587,143551,147565,231
EFB1,YAL003W,1,142174,143160,142153,143381,142153,143368,660
YAL004W,YAL004W,1,140760,141407,NaN,NaN,NaN,NaN,NaN
SSA1,YAL005C,1,141431,139503,141493,139357,141493,139357,660
ERP2,YAL007C,1,138345,137698,138414,137552,138420,137522,943
FUN14,YAL008W,1,136914,137510,136866,137637,136866,137637,110
SPO7,YAL009W,1,135854,136633,135823,136756,135813,136780,121
MDM10,YAL010C,1,135665,134184,135702,134083,135706,134136,121
SWC3,YAL011W,1,132199,134076,132195,134175,132195,134178,113
CYS3,YAL012W,1,130799,131983,130742,132082,130744,132082,154
DEP1,YAL013W,1,129270,130487,129236,130588,129236,130583,169
SYN8,YAL014C,1,129019,128252,129067,128118,129067,128091,169
NTG1,YAL015C,1,128102,126903,128074,126746,NaN,126896,44
TPD3,YAL016W,1,124879,126786,124786,126870,124798,126875,340
PSK1,YAL017W,1,120225,124295,119862,124446,119858,124459,1000
YAL018C,YAL018C,1,119541,118564,NaN,NaN,NaN,NaN,NaN
FUN30,YAL019W,1,114919,118314,114813,118363,114809,118386,176
ATS1,YAL020C,1,114615,113614,114637,113539,114630,113537,176
CCR4,YAL021C,1,113359,110846,113418,110616,113403,110616,121
FUN26,YAL022C,1,110430,108877,110446,108835,110446,108835,170
PMT2,YAL023C,1,108551,106272,108640,106157,108639,106143,195
LTE1,YAL024C,1,105872,101565,105986,101482,105976,101371,171
MAK16,YAL025C,1,101145,100225,101168,100024,101168,100022,314
DRS2,YAL026C,1,99697,95630,99783,95490,99783,95482,241
SAW1,YAL027W,1,94687,95472,94606,95542,94607,95578,77
FRT2,YAL028W,1,92900,94486,92836,94529,92854,94606,314
MYO4,YAL029C,1,92270,87855,92522,87794,92522,87695,314
SNC1,YAL030W,1,87286,87752,87264,87867,87264,87862,186
GIP4,YAL031C,1,87031,84749,87078,84664,87078,84595,186
PRP45,YAL032C,1,84474,83335,84494,83204,84494,83204,170
POP5,YAL033W,1,82706,83227,82701,83299,82701,83299,116
FUN19,YAL034C,1,81951,80710,82585,80608,NaN,80563,116
FUN12,YAL035W,1,76427,79435,76401,79561,76401,79555,1
RBG1,YAL036C,1,76152,75043,76184,74965,76189,74850,216
YAL037W,YAL037W,1,74020,74823,73453,76400,NaN,NaN,1
CDC19,YAL038W,1,71786,73288,71759,73452,71759,73452,1000
CYC3,YAL039C,1,69525,68716,69581,68649,69581,68654,1000
CLN3,YAL040C,1,67520,65778,67844,65601,67844,65601,805
CDC24,YAL041W,1,62840,65404,62776,65463,62776,65463,122
ERV46,YAL042W,1,61316,62563,61294,62654,61274,62654,222
PTA1,YAL043C,1,61052,58695,61072,58619,61076,58626,222
GCV3,YAL044C,1,58462,57950,58471,57868,58476,57868,148
YAL045C,YAL045C,1,57796,57488,NaN,NaN,NaN,NaN,NaN
AIM1,YAL046C,1,57385,57029,57415,56907,57383,56911,102
SPC72,YAL047C,1,56857,54989,56886,54934,NaN,54937,21
GEM1,YAL048C,1,54789,52801,54790,51726,54825,52616,144
AIM2,YAL049C,1,52595,51855,52661,51726,52661,51719,1000
OAF1,YAL051W,1,48564,51707,48534,51787,NaN,51856,212
FLC2,YAL053W,1,45899,48250,45759,48322,45744,48310,691
ACS1,YAL054C,1,45022,42881,45068,43548,NaN,42718,691
PEX22,YAL055W,1,42177,42719,42170,42801,42191,42790,171
GPB2,YAL056W,1,39259,41901,39212,41999,39215,41980,49
CNE1,YAL058W,1,37464,38972,37415,39163,37449,39011,83
ECM1,YAL059W,1,36509,37147,36507,37332,36559,37344,120
BDH1,YAL060W,1,35155,36303,35107,36387,35107,36387,190
BDH2,YAL061W,1,33448,34701,33359,34917,33359,34868,344
GDH3,YAL062W,1,31567,32940,31529,33015,31188,33011,1000
FLO9,YAL063C,1,27968,24000,NaN,NaN,28211,23927,NaN
YAL064W,YAL064W,1,21566,21850,NaN,NaN,NaN,22160,NaN
YAL065C,YAL065C,1,11951,11565,NaN,NaN,NaN,NaN,NaN
YAL066W,YAL066W,1,10091,10399,NaN,NaN,NaN,NaN,NaN
SEO1,YAL067C,1,9016,7235,9260,7276,9191,7058,1000
PAU8,YAL068C,1,2169,1807,NaN,NaN,NaN,1665,NaN
YAL069W,YAL069W,1,335,649,NaN,NaN,NaN,NaN,NaN
NUP60,YAR002W,1,152257,153876,152215,153970,152215,153962,1000
SWD1,YAR003W,1,155005,156285,154920,156780,154951,NaN,174
RFA1,YAR007C,1,158619,156754,158682,156681,158682,156681,190
SEN34,YAR008W,1,158966,159793,158872,159890,158868,159860,190
YAR009C,YAR009C,1,164187,160597,NaN,NaN,NaN,NaN,NaN
YAR010C,YAR010C,1,165866,164544,NaN,NaN,NaN,NaN,NaN
BUD14,YAR014C,1,168871,166742,169021,166565,169021,166557,256
ADE1,YAR015W,1,169375,170295,169277,170390,169272,170390,256
KIN3,YAR018C,1,171703,170396,171719,170285,171719,170263,446
CDC15,YAR019C,1,175135,172211,175181,172165,NaN,172119,1000
PAU7,YAR020C,1,177023,176856,NaN,NaN,NaN,176480,NaN
YAR023C,YAR023C,1,179820,179281,180697,179245,NaN,179043,1000
UIP3,YAR027W,1,183770,184477,183671,184655,183688,184552,1000
YAR028W,YAR028W,1,184892,185596,184848,185794,184836,185794,193
YAR029W,YAR029W,1,186321,186545,184853,186786,NaN,186754,5
YAR030C,YAR030C,1,186853,186512,NaN,NaN,NaN,NaN,NaN
PRM9,YAR031W,1,186836,187732,NaN,NaN,186997,187889,NaN
MST28,YAR033W,1,188107,188811,188051,188904,188065,188904,1000
YAT1,YAR035W,1,190193,192256,190149,192360,NaN,192409,1000
SWH1,YAR042W,1,192619,196185,192583,196349,192595,196418,223
,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YAR047C,YAR047C,1,201787,201467,NaN,NaN,NaN,NaN,NaN
FLO1,YAR050W,1,203403,208016,NaN,NaN,NaN,208283,NaN
YAR053W,YAR053W,1,208367,208663,NaN,NaN,NaN,NaN,NaN
YAR060C,YAR060C,1,217492,217157,NaN,NaN,NaN,NaN,NaN
YAR061W,YAR061W,1,218140,218343,NaN,NaN,NaN,NaN,NaN
YAR062W,YAR062W,1,218549,219145,NaN,NaN,NaN,NaN,NaN
YAR064W,YAR064W,1,220198,220497,NaN,NaN,NaN,NaN,NaN
YAR066W,YAR066W,1,221049,221660,NaN,NaN,220973,NaN,NaN
YAR068W,YAR068W,1,222406,222891,NaN,NaN,NaN,NaN,NaN
YAR069C,YAR069C,1,224304,224011,NaN,NaN,NaN,NaN,NaN
YAR070C,YAR070C,1,224862,224563,NaN,NaN,NaN,NaN,NaN
PHO11,YAR071W,1,225460,226863,NaN,NaN,225420,226913,NaN
IMD1,YAR073W,1,227742,228953,NaN,NaN,NaN,NaN,NaN
YAR075W,YAR075W,1,228844,229317,NaN,NaN,NaN,NaN,NaN
ECM15,YBL001C,2,237467,237153,237478,237078,237528,237078,1000
HTB2,YBL002W,2,236492,236887,236469,237079,236469,237079,650
HTA2,YBL003C,2,235792,235394,235819,235218,235827,235221,650
UTP20,YBL004W,2,227636,235117,227525,235213,227529,235202,1000
PDR3,YBL005W,2,217470,220400,217408,220685,217408,220685,264
LDB7,YBL006C,2,217129,216587,217144,216405,217133,216405,264
SLA1,YBL007C,2,216366,212632,216418,212548,NaN,212548,726
HIR1,YBL008W,2,209653,212175,209598,212256,NaN,212279,248
ALK2,YBL009W,2,207194,209224,207160,209350,207152,209338,200
YBL010C,YBL010C,2,206949,206107,206960,205899,206943,205964,200
SCT1,YBL011W,2,203538,205817,203437,206022,203437,206019,1000
